,time,open,high,low,close,ma5,rsi,macd_l,macd_s,tenkan_sen,kijun_sen,chikou_span
0,2022-06-27 12:25:00,1.05796,1.05799,1.05755,1.05782,,,,,,,1.05762
1,2022-06-27 12:30:00,1.05783,1.05798,1.05762,1.05772,,,,,,,1.0579
2,2022-06-27 12:35:00,1.05771,1.05793,1.05764,1.05774,,,,,,,1.05766
3,2022-06-27 12:40:00,1.05774,1.05811,1.05774,1.05795,,,,,,,1.05699
4,2022-06-27 12:45:00,1.05796,1.05807,1.05769,1.05807,1.057859969139099,,,,,,1.05684
5,2022-06-27 12:50:00,1.05807,1.05863,1.05768,1.05771,1.0578379869461059,,,,,,1.0572
6,2022-06-27 12:55:00,1.05772,1.0578,1.0568,1.05687,1.0576679944992065,,,,,,1.05735
7,2022-06-27 13:00:00,1.05689,1.05765,1.05689,1.05753,1.0576260089874268,,,,,,1.05739
8,2022-06-27 13:05:00,1.05753,1.05753,1.05706,1.05708,1.0574520111083985,,,,1.058080017566681,,1.05718
9,2022-06-27 13:10:00,1.05708,1.05767,1.05686,1.05766,1.0573700189590454,,,,1.058080017566681,,1.05711
10,2022-06-27 13:15:00,1.05766,1.05786,1.05703,1.05725,1.0572780132293702,42.71773932254335,,,1.058080017566681,,1.05683
11,2022-06-27 13:20:00,1.05725,1.05783,1.05718,1.05776,1.0574560165405273,52.4958522600112,,,1.058080017566681,,1.05708
12,2022-06-27 13:25:00,1.05778,1.05809,1.05773,1.05795,1.0575400114059448,55.63141507089474,,,1.058080017566681,,1.05708
13,2022-06-27 13:30:00,1.05795,1.05829,1.0579,1.0582,1.0577640056610107,59.53555328737409,,,1.058080017566681,,1.0563
14,2022-06-27 13:35:00,1.0582,1.0585,1.0582,1.05845,1.0579220056533813,63.139424092049055,,,1.0580150485038757,,1.0564
15,2022-06-27 13:40:00,1.05848,1.05859,1.05802,1.05848,1.0581680059432983,63.57261881572342,,,1.0580600500106812,,1.05657
16,2022-06-27 13:45:00,1.05849,1.05879,1.05838,1.05869,1.0583539962768556,66.61869434077637,,,1.0581600069999695,,1.05702
17,2022-06-27 13:50:00,1.05869,1.05889,1.05854,1.05864,1.0584919929504395,65.17782455269678,,,1.0582799911499023,,1.05764
18,2022-06-27 13:55:00,1.05863,1.0587,1.05827,1.05846,1.0585439920425415,59.982930298498445,,,1.058359980583191,,1.05827
19,2022-06-27 14:00:00,1.0585,1.05859,1.05826,1.05831,1.058516001701355,55.86147641257124,,,1.058359980583191,,1.0584
20,2022-06-27 14:05:00,1.05831,1.05839,1.05794,1.05814,1.0584480047225953,51.41223825423179,,,1.058489978313446,,1.05854
21,2022-06-27 14:10:00,1.05814,1.0582,1.05768,1.05769,1.058248019218445,41.653754973883174,,,1.0585449934005737,,1.05827
22,2022-06-27 14:15:00,1.05774,1.05785,1.0575,1.05759,1.058038020133972,39.788755712021036,,,1.0583699941635132,,1.05833
23,2022-06-27 14:20:00,1.05759,1.0579,1.05752,1.05772,1.0578900098800659,43.444069669535025,,,1.0583699941635132,,1.05832
24,2022-06-27 14:25:00,1.05773,1.05774,1.05717,1.05718,1.0576640129089356,33.93345687986921,,,1.0583149790763855,,1.05822
25,2022-06-27 14:30:00,1.05718,1.05773,1.05711,1.05738,1.0575119972229003,39.39222414153633,-5.574114450190848e-05,,1.0583099722862244,1.058210015296936,1.05859
26,2022-06-27 14:35:00,1.05738,1.05762,1.05737,1.05762,1.057498002052307,45.41092332650491,-6.532521062663221e-05,,1.0581600069999695,1.058210015296936,1.0586
27,2022-06-27 14:40:00,1.05762,1.0579,1.05757,1.0576,1.0575000047683716,44.99676831522012,-7.368725575429558e-05,,1.0581050515174866,1.058210015296936,1.05855
28,2022-06-27 14:45:00,1.0576,1.05766,1.0565,1.05669,1.0572940111160278,30.809750051325167,-0.00015199505474883246,,1.0580050349235535,1.058210015296936,1.05862
29,2022-06-27 14:50:00,1.05669,1.05699,1.05645,1.05674,1.0572060108184815,32.11808373649321,-0.0002076211609010059,,1.0575950145721436,1.0579400062561035,1.05862
30,2022-06-27 14:55:00,1.05673,1.05684,1.05645,1.05668,1.057066011428833,31.32822726476027,-0.00025362963965425145,,1.0573699474334717,1.0578649640083313,1.05834
31,2022-06-27 15:00:00,1.05669,1.0572,1.05666,1.05705,1.0569519996643066,41.22005212180908,-0.00025726808787407407,,1.0573699474334717,1.0578649640083313,1.05779
32,2022-06-27 15:05:00,1.05705,1.05735,1.05693,1.05725,1.0568819999694825,45.9008147588761,-0.0002412298304628191,,1.0573699474334717,1.0578649640083313,1.05783
33,2022-06-27 15:10:00,1.05726,1.05739,1.05706,1.05718,1.056980013847351,44.52273949936622,-0.00023149730559990367,-0.00017088829890263589,1.0573699474334717,1.0578649640083313,1.05829
34,2022-06-27 15:15:00,1.05718,1.05718,1.0566,1.05683,1.0569980144500732,38.1563298952539,-0.00024915406832271003,-0.0001865414527866507,1.0573699474334717,1.0578649640083313,1.05757
35,2022-06-27 15:20:00,1.05684,1.05711,1.05635,1.05656,1.0569740295410157,33.99017216547822,-0.0002816875344728853,-0.00020557066912389765,1.0573699474334717,1.0578649640083313,1.05795
